,Candidate identification,Candidate name,Incumbent challenger status,Party code,Party affiliation,Total receipts,Transfers from authorized committees,Total disbursements,Transfers to authorized committees,Beginning cash,Ending cash,Contributions from candidate,Loans from candidate,Other loans,Candidate loan repayments,Other loan repayments,Debts owed by,Total individual contributions,Candidate state,Candidate district,Special election status,Primary election status,Runoff election status,General election status,General election percentage,Contributions from other political committees,Contributions from party committees,Coverage end date,Refunds to individuals,Refunds to committees,Affiliated Committee Id,Affiliated Committee Type,Affiliated Committee Name,Street one,Street two,City or town,State,ZIP code,lat,lon
11,H2AK01166,"GROSS, ALAN[IND]",O,3,IND,882591.9,175216.9,888083.17,0.0,0.0,-5491.27,0.0,0.0,0.0,0.0,0.0,0.0,691155.94,AK,0.0,,,,,,16000.0,0.0,12/31/2022,198287.5,0.0,C00811299,H,AL GROSS FOR CONGRESS,PO BOX 90938,,ANCHORAGE,AK,99509.0,63.588753,-154.493062
12,H8AK00140,"GALVIN, ALYSE[IND]",C,3,IND,28303.62,1169.54,124897.32,0.0,96593.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AK,0.0,,,,,,0.0,0.0,04/20/2022,0.0,0.0,C00665711,H,ALYSE FOR ALASKA,P.O. BOX 90020,,ANCHORAGE,AK,99509.0,63.588753,-154.493062
13,H2AK01216,"BYE, CHRIS[LIB]",O,3,LIB,8018.91,0.0,3940.25,0.0,290.67,4217.51,3721.03,0.0,0.0,0.0,0.0,0.0,4198.61,AK,0.0,,,,,,99.27,0.0,12/08/2022,0.0,0.0,C00806059,H,CHRIS BYE CONGRESSIONAL RACE,832 SILVERTREE CT,,FAIRBANKS,AK,99712.0,64.9978639,-146.147347
14,H2AK01208,"METTLER, SHERRY[NNE]",O,3,NNE,8350.0,0.0,8350.0,0.0,0.0,0.0,1800.0,5000.0,0.0,0.0,0.0,5000.0,1550.0,AK,0.0,,,,,,0.0,0.0,09/12/2022,0.0,0.0,C00812719,H,METTLER FOR US CONGRESS,403 E 24TH AVE,,ANCHORAGE,AK,99503.0,62.0439512,-158.1756674
15,H2AK01190,"LOWENFELS, JEFF[NON]",O,3,NON,153418.08,0.0,153418.08,0.0,0.0,0.0,25.0,100000.0,0.0,0.0,0.0,100000.0,53393.08,AK,0.0,,,,,,0.0,0.0,08/25/2022,0.0,0.0,C00812263,H,ALASKANS FOR JEFF,6320 W DIMOND BLVD,,ANCHORAGE,AK,99502.0,61.1636426,-149.9966094
16,H0AL01097,"AVERHART, JAMES[DEM]",O,1,DEM,0.0,0.0,1000.0,0.0,1121.71,121.71,0.0,0.0,0.0,0.0,0.0,29245.0,0.0,AL,1.0,,,,,,0.0,0.0,12/31/2022,0.0,0.0,C00708867,H,CAMPAIGN TO ELECT JAMES AVERHART,PO BOX 40661,,MOBILE,AL,36604.0,30.6822187,-88.0681349
17,H0AL01055,"CARL, JERRY LEE, JR[REP]",I,2,REP,1313718.57,281319.87,971793.34,0.0,111972.59,453897.82,0.0,0.0,0.0,28797.29,0.0,468238.58,532388.69,AL,1.0,,,,,,499500.0,0.0,12/31/2022,21700.0,0.0,C00697789,H,JERRY CARL FOR CONGRESS,PO BOX 852138,,MOBILE,AL,36685.0,32.318231,-86.902298
18,H0AL01063,"LAMBERT, DOUGLAS WESTLEY III[REP]",O,2,REP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71611.13,0.0,AL,1.0,,,,,,0.0,0.0,03/31/2021,0.0,0.0,C00701557,H,WES LAMBERT FOR CONGRESS,7194 STILLWATER BLVD,,SPANISH FORT,AL,36527.0,30.7020746,-87.881866
19,H0AL02202,"HARVEY-HALL, PHYLLIS[DEM]",C,1,DEM,60440.24,0.0,60219.66,0.0,0.0,220.58,0.0,7823.0,0.0,0.0,0.0,1200.0,48936.06,AL,2.0,,,,,,350.0,3331.18,12/31/2022,0.0,0.0,C00728873,H,CAMPAIGN TO ELECT PHYLLIS HARVEY-HALL,P.O. BOX 11564,,MONTGOMERY,AL,36111.0,32.3365792,-86.2713244
20,H2AL02166,"PATEL, VIMAL[DEM]",C,1,DEM,61099.81,0.0,59961.13,0.0,0.0,1138.68,17265.0,12811.0,0.0,0.0,0.0,12811.0,31023.81,AL,2.0,,,,,,0.0,0.0,12/31/2022,0.0,0.0,C00790998,H,VIMAL PATEL FOR CONGRESS INC,PO BOX 9184,,DOTHAN,AL,36304.0,32.318231,-86.902298
21,H0AL02087,"ROBY, MARTHA[REP]",I,2,REP,2500.0,0.0,47712.24,0.0,45212.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AL,2.0,,,,,,0.0,0.0,06/30/2021,0.0,0.0,C00493783,H,FRESHMAN AGRICULTURAL REPUBLICAN MEMBERS TRUST AKA FARM TRUST,PO BOX 30844,,BETHESDA,MD,20824.0,39.045755,-76.641271
22,H0AL02145,"COLEMAN, JEFF[REP]",O,2,REP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AL,2.0,,,,,,0.0,0.0,09/30/2021,0.0,0.0,C00715698,H,"JEFF COLEMAN FOR CONGRESS, INC.",P.O. BOX 6132,,MONTGOMERY,AL,36106.0,32.3528205,-86.2575853
23,H0AL02152,"KING, TROY[REP]",O,2,REP,0.0,0.0,3028.21,0.0,3028.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AL,2.0,,,,,,0.0,0.0,09/30/2021,0.0,0.0,C00718411,H,TROY KING FOR CONGRESS,PO BOX 1,,MONTGOMERY,AL,36101.0,32.318231,-86.902298
24,H2AL02182,"COLEMAN, JEFF[REP]",C,2,REP,362073.05,0.0,362073.05,0.0,0.0,0.0,62063.05,300000.0,0.0,0.0,0.0,0.0,0.0,AL,2.0,,,,,,0.0,0.0,06/30/2022,0.0,0.0,C00804559,H,COLEMAN FOR CONGRESS,PO BOX 8722,,DOTHAN,AL,36304.0,32.318231,-86.902298
25,H8AL02171,"MOORE, FELIX BARRY[REP]",I,2,REP,891776.46,15862.17,430418.03,0.0,1439.05,467797.48,0.0,0.0,0.0,11500.0,0.0,0.0,524421.35,AL,2.0,,,,,,343389.25,0.0,12/31/2022,2500.62,0.0,C00720375,H,BARRY MOORE FOR CONGRESS,P.O. BOX 310815,,ENTERPRISE,AL,36331.0,32.318231,-86.902298
26,H2AL02190,"SMITH, JONATHAN[LIB]",C,3,LIB,14276.09,0.0,13281.19,0.0,0.0,-296.53,0.0,0.0,0.0,0.0,0.0,0.0,12617.2,AL,2.0,,,,,,400.0,0.0,12/31/2022,0.0,0.0,C00808667,H,JONATHAN 4 CONGRESS,148 MEADOWLANE RD,,DALEVILLE,AL,36322.0,31.2576051,-85.7358074
27,H2AL03131,"VEASEY, KAREN LIN MRS[DEM]",C,1,DEM,9968.0,0.0,13237.7,0.0,3700.0,3545.05,0.0,0.0,0.0,0.0,0.0,0.0,4413.0,AL,3.0,,,,,,0.0,5555.0,11/28/2022,0.0,0.0,C00817130,H,LIN VEASEY FOR CONGRESS,310 LADIGA ST. SE,,JACKSONVILLE,AL,36265.0,33.8476552,-85.7849164
28,H8AL03062,"WINFREY, ADIA[DEM]",C,1,DEM,0.0,0.0,23.0,0.0,28.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AL,3.0,,,,,,0.0,0.0,12/31/2022,0.0,0.0,C00669010,H,COMMITTEE TO ELECT DR. ADIA WINFREY,PO BOX 734,,TALLADEGA,AL,35161.0,32.318231,-86.902298
29,H2AL03032,"ROGERS, MICHAEL[REP]",I,2,REP,2262995.22,18400.0,1737893.91,130015.0,502233.7,1028335.01,0.0,0.0,0.0,0.0,0.0,0.0,1170064.81,AL,3.0,,,,,,1012390.44,19869.29,12/31/2022,16208.0,1000.0,C00367862,H,MIKE ROGERS FOR CONGRESS,123 EAST 13TH STREET,,ANNISTON,AL,36201.0,33.6491603,-85.8796421
30,H2AL03123,"JOINER, MICHAEL T[REP]",C,2,REP,500.0,0.0,538.99,0.0,0.0,-38.99,0.0,0.0,0.0,0.0,0.0,0.0,500.0,AL,3.0,,,,,,0.0,0.0,05/04/2022,0.0,0.0,C00802041,H,MICHAEL T JOINER FOR CONGRESS,115 ISBELL CIR,,RAGLANG,AL,35131.0,33.7274057,-86.1968648
31,H2AL03107,"BELL, DOUGLAS A.[IND]",C,3,IND,7680.83,0.0,7595.58,0.0,0.0,85.25,4575.96,0.0,0.0,0.0,0.0,299.93,3104.87,AL,3.0,,,,,,0.0,0.0,12/31/2022,0.0,0.0,C00777540,H,DOUG BELL FOR US CONGRESS,52 VIRGINIA AVE.,,SYLACAUGA,AL,35150.0,33.1893059,-86.2383841
32,H8AL04086,"NEIGHBORS, RICKY[DEM]",C,1,DEM,22648.3,0.0,23619.51,0.0,1034.1,-2082.65,0.0,0.0,0.0,0.0,0.0,1800.0,22498.3,AL,4.0,,,,,,0.0,150.0,11/28/2022,0.0,0.0,C00802025,H,RICK NEIGHBORS FOR CONGRESS 2022,1008 CLEVELAND BRANCH ROAD,,HACKLEBURG,AL,35564.0,34.2584318,-87.8455721
33,H6AL04098,"ADERHOLT, ROBERT B. REP.[REP]",I,2,REP,1540807.2,5263.5,1028366.36,475.0,647004.39,1159445.23,0.0,0.0,0.0,0.0,0.0,0.0,845700.98,AL,4.0,,,,,,684683.5,0.0,12/31/2022,2308.14,1000.0,C00313247,H,ROBERT ADERHOLT FOR CONGRESS,P. O. BOX 1158,,HALEYVILLE,AL,35565.0,34.2372593,-87.5634739
34,H2AL04105,"COCHRAN, JOHN[LIB]",C,3,LIB,6719.28,0.0,6330.7,0.0,0.0,388.58,100.0,0.0,0.0,0.0,0.0,0.0,6619.28,AL,4.0,,,,,,0.0,0.0,12/31/2022,0.0,0.0,C00819706,H,COMMITTEE TO ELECT JOHNNY C. COCHRAN,1879 GAINESWOOD PLACE,,TUSCALOOSA,AL,35406.0,33.3388668,-87.4693246
35,H2AL05177,"WARNER-STANTON, KATHY L[DEM]",O,1,DEM,85150.0,0.0,84706.25,0.0,-248.72,195.03,0.0,80000.0,0.0,0.0,0.0,80000.0,5150.0,AL,5.0,,,,,,0.0,0.0,11/28/2022,0.0,0.0,C00791558,H,CANDIDATE KATHY WARNER-STANTON,1937 RED SUNSET DR,,DECATUR,AL,35603.0,34.5354518,-86.9712262
36,H0AL05163,"BROOKS, MO[REP]",I,2,REP,3615102.95,0.0,4750635.47,0.0,1137501.18,1968.66,0.0,0.0,0.0,0.0,0.0,0.0,3392131.66,AL,5.0,,,,,,93500.0,0.0,12/31/2022,329546.0,5500.0,,,,,,,,,0.0,0.0
37,H0AL05205,"LEWIS, CHRIS[REP]",C,2,REP,100.0,0.0,373.3,0.0,1009.55,736.25,0.0,0.0,0.0,0.0,0.0,62051.49,100.0,AL,5.0,,,,,,0.0,0.0,03/31/2022,0.0,0.0,C00701375,H,FRIENDS OF CHRIS LEWIS,PO BOX 992,,FLORENCE,AL,35631.0,32.318231,-86.902298
38,H2AL05102,"STRONG, DALE WHITNEY[REP]",C,2,REP,1994353.59,0.0,1975308.27,0.0,0.0,19045.32,0.0,240000.0,0.0,0.0,0.0,240000.0,1393769.91,AL,5.0,,,,,,360000.0,0.0,12/31/2022,20400.0,0.0,C00774281,H,DALE STRONG FOR CONGRESS,P.O. BOX 18502,,HUNTSVILLE,AL,35804.0,32.318231,-86.902298
39,H2AL05110,"BLALOCK, KEVIN ANDREW[REP]",C,2,REP,51494.96,0.0,49212.24,0.0,0.0,2239.22,10237.14,0.0,0.0,0.0,0.0,0.0,40757.82,AL,5.0,,,,,,500.0,0.0,05/24/2022,0.0,0.0,C00775700,H,ANDY BLALOCK THE COMMITTEE TO ELECT FOR CONGRESS,25055 AIRPORT ROAD,,ATHENS,AL,35614.0,34.8537218,-86.9901123
40,H2AL05128,"WARDYNSKI, CASEY[REP]",O,2,REP,777338.34,0.0,777338.34,0.0,0.0,0.0,1600.0,153000.0,0.0,0.0,0.0,153000.0,595228.34,AL,5.0,,,,,,14500.0,0.0,08/02/2022,11905.0,0.0,C00778142,H,CASEY FOR CONGRESS,PO BOX 690,,HUNTSVILLE,AL,35804.0,32.318231,-86.902298
41,H2AL05136,"WRIGHT, HARRISON GAGE WOODARD[REP]",O,2,REP,811.0,0.0,0.0,0.0,485.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,AL,5.0,,,,,,25.0,100.0,07/21/2022,0.0,0.0,C00779371,H,HARRISON WRIGHT FOR US HOUSE 2022,2080 COUNTY HIGHWAY 26,,HAYDEN,AL,35079.0,33.9380665,-86.7497081
42,H2AL05169,"ROBERTS, JOHN[REP]",O,2,REP,167173.32,0.0,167173.32,0.0,0.0,0.0,2468.94,45000.0,0.0,6933.64,0.0,0.0,119704.38,AL,5.0,,,,,,0.0,0.0,08/31/2022,27400.0,0.0,C00785683,H,JOHN ROBERTS FOR CONGRESS,PO BOX 225,,HUNTSVILLE,AL,35804.0,32.318231,-86.902298
43,H2AL05219,"SANFORD, PAUL[REP]",O,2,REP,70308.97,0.0,70417.97,0.0,0.0,0.0,208.75,11250.0,0.0,0.0,0.0,10000.0,58650.22,AL,5.0,,,,,,0.0,0.0,12/31/2022,0.0,0.0,C00792861,H,FRIENDS OF PAUL SANFORD,PO BOX 2702,,HUNTSVILLE,AL,35801.0,34.7252687,-86.5608661
44,H2AL05144,"THOMPSON, CHARLES[AL]",O,3,AL,35028.56,0.0,34895.13,0.0,0.0,133.43,0.0,24897.02,0.0,1804.86,0.0,23092.16,10131.54,AL,5.0,,,,,,0.0,0.0,06/30/2022,0.0,0.0,C00784553,H,CHARLIE4CONGRESS,3215 BLUE CREST ST SW,,HUNTSVILLE,AL,35805.0,34.7093683,-86.6202897
45,H4AL06098,"PALMER, GARY[REP]",I,2,REP,1278902.76,175769.1,1203524.76,0.0,370687.86,446065.86,0.0,0.0,0.0,0.0,0.0,0.0,686961.84,AL,6.0,,,,,,410795.0,100.0,12/31/2022,66900.0,0.0,C00551374,H,GARY PALMER FOR CONGRESS,1919 OXMOOR RD #235,,HOMEWOOD,AL,35209.0,33.466348,-86.8115158
46,H0AL07086,"SEWELL, TERRI A.[DEM]",I,1,DEM,2359060.83,0.0,1706609.01,0.0,2243480.25,2895932.07,0.0,0.0,0.0,0.0,0.0,0.0,666127.08,AL,7.0,,,,,,1679747.82,0.0,12/31/2022,7387.0,1500.0,C00458976,H,TERRI SEWELL FOR CONGRESS,PO BOX 1964,,BIRMINGHAM,AL,35201.0,32.318231,-86.902298
47,H6AL07166,"WALTERS, EDDISON T[DEM]",O,1,DEM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10164.85,0.0,AL,7.0,,,,,,0.0,0.0,03/31/2021,0.0,0.0,C00678631,H,EDDISON WALTERS CAMPAIGN,170 NE 2ND STREET,4065,BOCA RATON,FL,33429.0,27.664827,-81.515754
48,H2AL07173,"NICHOLS, BEATRICE JACKSON[REP]",C,2,REP,47728.98,0.0,47821.88,0.0,0.0,75.13,0.0,0.0,0.0,0.0,0.0,0.0,46285.71,AL,7.0,,,,,,0.0,1000.0,12/31/2022,0.14,0.0,C00762344,H,NICHOLS COMMITTEE,1471 JAMESTOWN CIRCLE,,MOUNDVILLE,AL,35474.0,32.9451084,-87.5871353
49,H0AR01109,"CAUSEY, CHAD[DEM]",O,1,DEM,15000.0,0.0,15181.59,0.0,181.59,0.0,0.0,15000.0,0.0,0.0,0.0,0.0,0.0,AR,1.0,,,,,,0.0,0.0,06/30/2022,0.0,0.0,C00475384,H,CHAD CAUSEY FOR CONGRESS,P.O. BOX 7526,,LITTLE ROCK,AR,72217.0,35.20105,-91.831833
50,H2AR01113,"HODGES, MONTE[DEM]",C,1,DEM,66983.81,0.0,64098.32,0.0,0.0,3328.65,0.0,25000.0,0.0,0.0,0.0,25000.0,41983.81,AR,1.0,,,,,,0.0,0.0,12/31/2022,0.0,0.0,C00798892,H,COMMITTEE TO ELECT MONTE HODGES,453 NORTH 10TH STREET,,BLYTHEVILLE,AR,72315.0,35.9025924,-89.9033723
51,H0AR01083,"CRAWFORD, ERIC ALAN RICK[REP]",I,2,REP,1087410.34,0.0,647616.25,0.0,182708.24,622502.33,0.0,0.0,0.0,0.0,0.0,0.0,483520.34,AR,1.0,,,,,,599400.0,3600.0,12/31/2022,0.0,0.0,C00462374,H,CRAWFORD FOR CONGRESS,PO BOX 16956,,JONESBORO,AR,72403.0,35.20105,-91.831833
52,H0AR01125,"SMITH, PRINCELLA D[REP]",O,2,REP,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AR,1.0,,,,,,0.0,0.0,12/31/2022,0.0,0.0,C00480905,H,PRINCELLA SMITH FOR CONGRESS,6920 BRADDOCK RD,STE E #662,ANNANDALE,VA,22003.0,38.8298165,-77.2153177
53,H2AR01105,"SMITH, BRANDT[REP]",C,2,REP,30450.0,0.0,30450.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,28700.0,AR,1.0,,,,,,750.0,0.0,06/30/2022,0.0,0.0,C00788398,H,BRANDT SMITH FOR CONGRESS,3501 RIDGEWAY CIRCLE,,JONESBORO,AR,73404.0,35.20105,-91.831833
54,H2AR01121,"SHACKELFORD, JODY[REP]",C,2,REP,24483.04,0.0,21377.52,0.0,0.0,3105.52,0.0,24333.04,0.0,0.0,0.0,24333.04,150.0,AR,1.0,,,,,,0.0,0.0,05/04/2022,0.0,0.0,C00803635,H,THE CAMPAIGN TO ELECT JODY SHACKELFORD,58 ISLETA DR.,,CHEROKEE VILLAGE,AR,72529.0,36.2923231,-91.5642848
55,H0AR02206,"ELLIOTT, JOYCE ANN SENATOR[DEM]",C,1,DEM,122114.7,0.0,129574.4,0.0,3729.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AR,2.0,,,,,,0.0,0.0,03/31/2021,138.0,0.0,C00726943,H,JOYCE ELLIOTT FOR CONGRESS,PO BOX 179,,LITTLE ROCK,AR,72203.0,35.20105,-91.831833
56,H2AR02087,"CARTWRIGHT, NICHOLAS[DEM]",C,1,DEM,20244.0,0.0,19989.0,0.0,0.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,20244.0,AR,2.0,,,,,,0.0,0.0,03/21/2022,0.0,0.0,C00783407,H,NICK CARTWRIGHT FOR CONGRESS,113 HIGHLAND CIRCLE,,ROMANCE,AR,72136.0,35.2415987,-92.0057741
57,H2AR02095,"HATHAWAY, QUINTESSA DR.[DEM]",C,1,DEM,10421.88,0.0,10376.75,0.0,0.0,45.13,6592.54,0.0,0.0,0.0,0.0,0.0,3454.93,AR,2.0,,,,,,200.0,0.0,12/31/2022,1150.0,0.0,C00788232,H,QUINTESSA HATHAWAY FOR CONGRESS (AR-2),P.O. BOX 6121,,SHERWOOD,AR,72124.0,35.20105,-91.831833
58,H8AR02142,"COMBS, GWENDOLYNN MILLEN MRS.[DEM]",C,1,DEM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AR,2.0,,,,,,0.0,0.0,02/01/2021,0.0,0.0,C00652289,H,COMBS FOR ARKANSAS,P.O BOX 250071,,LITTLE ROCK,AR,72225.0,35.20105,-91.831833
59,H2AR02103,"REYNOLDS, CONRAD E[REP]",C,2,REP,127592.04,0.0,150763.96,0.0,0.0,2134.97,0.0,12335.56,0.0,0.0,0.0,21442.67,114040.98,AR,2.0,,,,,,0.0,0.0,12/31/2022,8700.0,0.0,C00796037,H,CONRAD REYNOLDS FOR CONGRESS,P.O.BOX 10333,,CONWAY,AR,72034.0,35.0499215,-92.4860492
60,H2AR02111,"POSTON, DAVID P[REP]",C,2,REP,1209.86,0.0,1309.86,0.0,100.0,0.0,0.0,500.0,0.0,0.0,0.0,500.0,565.0,AR,2.0,,,,,,0.0,0.0,04/21/2022,0.0,0.0,C00796391,H,DAVID POSTON FOR CONGRESS,PO BOX 652,,VILONIA,AR,72173.0,35.1001009,-92.2111436
61,H4AR02141,"HILL, JAMES FRENCH[REP]",I,2,REP,3396282.37,392627.74,2926696.72,85142.66,410779.36,880665.01,0.0,0.0,0.0,0.0,0.0,0.0,1581068.73,AR,2.0,,,,,,1279750.0,200.0,12/31/2022,10100.0,0.0,C00551275,H,FRENCH HILL FOR ARKANSAS,PO BOX 7841,,LITTLE ROCK,AR,72217.0,35.20105,-91.831833
62,H0AR03030,"WHITAKER, DAVID JEFFREY[DEM]",O,1,DEM,0.0,0.0,0.0,0.0,3367.43,3367.43,0.0,0.0,0.0,0.0,0.0,18457.09,0.0,AR,3.0,,,,,,0.0,0.0,12/31/2022,0.0,0.0,C00468033,H,DAVID WHITAKER FOR CONGRESS,PO BOX 957,,FAYETTEVILLE,AR,72702.0,35.20105,-91.831833
63,H2AR03283,"HAYS, LAUREN[DEM]",C,1,DEM,65741.89,0.0,65741.89,0.0,0.0,0.0,5000.0,23700.0,0.0,1124.84,0.0,22575.16,36766.89,AR,3.0,,,,,,0.0,275.0,12/31/2022,0.0,0.0,C00777144,H,SUPPORTERS FOR LAUREN MALLETT-HAYS,PO BOX 30,,FARMINGTON,AR,72730.0,36.0304769,-94.2686756
64,H0AR03055,"WOMACK, STEVE[REP]",I,2,REP,1664168.78,16946.27,1083110.59,0.0,1363256.7,1944314.89,0.0,0.0,0.0,0.0,0.0,0.0,739783.77,AR,3.0,,,,,,887778.08,0.0,12/31/2022,1550.0,0.0,C00477745,H,WOMACK FOR CONGRESS COMMITTEE,PO BOX 508,,ROGERS,AR,72757.0,35.20105,-91.831833
65,H2AR03143,"HENDREN, JAMES PAUL[REP]",C,2,REP,-9.85,0.0,19.96,0.0,93.61,63.8,0.0,-9.85,0.0,0.0,0.0,450132.85,0.0,AR,3.0,,,,,,0.0,0.0,12/31/2022,0.0,0.0,C00366567,H,JIM HENDREN FOR CONGRESS,1607 HWY 72 SE,,GRAVETTE,AR,72736.0,36.4137775,-94.465066
66,H2AR03275,"KUMAR, NEIL[REP]",C,2,REP,110333.24,0.0,110333.24,0.0,0.0,0.0,0.0,30000.0,0.0,461.0,0.0,29539.0,80123.24,AR,3.0,,,,,,210.0,0.0,07/05/2022,125.0,0.0,C00775163,H,NEIL FOR ARKANSAS,PO BOX 652,,BENTONVILLE,AR,72712.0,36.3465671,-94.2562795
